name,category,asr_model,genai_model,sum_num_words,coverage
abdomen,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,613,0.4828711256117455
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,295,0.3050847457627119
auto-immuunziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,658,0.42857142857142855
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,642,0.3878504672897196
diabetes,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,574,0.39547038327526135
hartziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,388,0.38917525773195877
neurologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,506,0.4743083003952569
oncologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,453,0.46357615894039733
GGZ-exposure-therapie,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,555,0.6954954954954955
hulpverleners,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,653,0.8070444104134763
interview-113,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,525,0.6857142857142857
ouder-worden-2040,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,567,0.7125220458553791
ouderen-zorg,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,733,0.6493860845839018
seksuele-voorlichting,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,661,0.7065052950075643
verzorgings-staat,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,648,0.7037037037037037
angststoornis,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,414,0.4444444444444444
antidepressiva,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,511,0.4657534246575342
baan,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,692,0.4508670520231214
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,747,0.5528781793842035
misbruik,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,648,0.39814814814814814
studie,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,572,0.5052447552447552
vrijheden,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,654,0.3654434250764526
abdomen,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,572,0.49125874125874125
