name,category,asr_model,genai_model,sum_num_words,coverage
studie,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Haiku_4.5,374,0.3716577540106952
vrijheden,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Haiku_4.5,365,0.38082191780821917
abdomen,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,143,0.4405594405594406
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,95,0.25263157894736843
auto-immuunziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,131,0.40458015267175573
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,162,0.37037037037037035
diabetes,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,153,0.42483660130718953
hartziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,147,0.4013605442176871
neurologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,151,0.47019867549668876
oncologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,137,0.35766423357664234
GGZ-exposure-therapie,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,261,0.6091954022988506
hulpverleners,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,245,0.6448979591836734
interview-113,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,248,0.5403225806451613
ouder-worden-2040,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,244,0.6270491803278688
ouderen-zorg,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,266,0.4849624060150376
seksuele-voorlichting,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,273,0.6996336996336996
verzorgings-staat,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,47,0.3404255319148936
angststoornis,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,216,0.5185185185185185
antidepressiva,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,298,0.47315436241610737
baan,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,310,0.4967741935483871
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,270,0.40370370370370373
misbruik,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,272,0.4264705882352941
studie,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,230,0.4
vrijheden,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,241,0.38589211618257263
abdomen,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,245,0.3142857142857143
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,241,0.12448132780082988
auto-immuunziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,242,0.17768595041322313
bewegingsapparaat,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,241,0.18672199170124482
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,242,0.17355371900826447
hartziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,241,0.1908713692946058
neurologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,242,0.22727272727272727
oncologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,241,0.2572614107883817
GGZ-exposure-therapie,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,127,0.4645669291338583
hulpverleners,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,89,0.43820224719101125
interview-113,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,73,0.3150684931506849
ouder-worden-2040,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,76,0.3815789473684211
ouderen-zorg,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,92,0.391304347826087
seksuele-voorlichting,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,70,0.38571428571428573
verzorgings-staat,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,81,0.35802469135802467
angststoornis,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,258,0.22093023255813954
antidepressiva,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,261,0.21839080459770116
baan,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,260,0.28846153846153844
intake-bedrijf,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,260,0.25384615384615383
misbruik,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,262,0.18702290076335878
studie,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,261,0.21455938697318008
vrijheden,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,261,0.21455938697318008
abdomen,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,245,0.3142857142857143
ademhaling,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,241,0.12448132780082988
auto-immuunziekten,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,242,0.17768595041322313
bewegingsapparaat,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,241,0.18672199170124482
diabetes,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,242,0.17355371900826447
hartziekten,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,241,0.1908713692946058
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,242,0.22727272727272727
oncologie,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,241,0.2572614107883817
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,64,0.734375
hulpverleners,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,437,0.7093821510297483
interview-113,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,392,0.5663265306122449
ouder-worden-2040,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,400,0.6
ouderen-zorg,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,457,0.5579868708971554
seksuele-voorlichting,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,345,0.6231884057971014
verzorgings-staat,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,424,0.6014150943396226
angststoornis,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,258,0.22093023255813954
antidepressiva,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,261,0.21839080459770116
baan,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,260,0.28846153846153844
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,480,0.4479166666666667
misbruik,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,468,0.3055555555555556
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,558,0.30824372759856633
vrijheden,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,561,0.31194295900178254
