name,category,asr_model,genai_model,sum_num_words,coverage
angststoornis,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,385,0.3220779220779221
antidepressiva,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,460,0.3717391304347826
baan,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,508,0.42913385826771655
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,573,0.45200698080279234
misbruik,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,482,0.38381742738589214
studie,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,458,0.40829694323144106
vrijheden,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,462,0.35714285714285715
abdomen,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,435,0.46436781609195404
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,171,0.36257309941520466
auto-immuunziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,442,0.4298642533936652
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,532,0.34962406015037595
diabetes,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,526,0.38022813688212925
hartziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,449,0.34075723830734966
neurologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,525,0.3980952380952381
oncologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,664,0.3795180722891566
GGZ-exposure-therapie,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,305,0.6885245901639344
hulpverleners,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,455,0.8
interview-113,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,335,0.6388059701492538
ouder-worden-2040,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,441,0.671201814058957
ouderen-zorg,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,478,0.6297071129707112
seksuele-voorlichting,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,339,0.640117994100295
verzorgings-staat,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,362,0.6160220994475138
angststoornis,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,548,0.2846715328467153
antidepressiva,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,848,0.3007075471698113
baan,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,1077,0.35376044568245124
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,989,0.41456016177957533
misbruik,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,795,0.33584905660377357
studie,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,679,0.3549337260677467
vrijheden,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,545,0.3614678899082569
abdomen,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,369,0.42005420054200543
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,152,0.3355263157894737
auto-immuunziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,344,0.3866279069767442
bewegingsapparaat,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,435,0.41379310344827586
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,422,0.35308056872037913
hartziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,407,0.33415233415233414
neurologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,436,0.4151376146788991
oncologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,429,0.4172494172494173
GGZ-exposure-therapie,interviews,Qwen3 ASR 1.7B,transcript_Sonnet-5,289,0.7024221453287197
hulpverleners,interviews,Qwen3 ASR 1.7B,transcript_Sonnet-5,414,0.7874396135265701
interview-113,interviews,Qwen3 ASR 1.7B,transcript_Sonnet-5,309,0.6537216828478964
ouder-worden-2040,interviews,Qwen3 ASR 1.7B,transcript_Sonnet-5,336,0.6636904761904762
ouderen-zorg,interviews,Qwen3 ASR 1.7B,transcript_Sonnet-5,345,0.6173913043478261
seksuele-voorlichting,interviews,Qwen3 ASR 1.7B,transcript_Sonnet-5,372,0.6935483870967742
verzorgings-staat,interviews,Qwen3 ASR 1.7B,transcript_Sonnet-5,391,0.639386189258312
angststoornis,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Sonnet-5,438,0.319634703196347
antidepressiva,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Sonnet-5,574,0.39198606271777003
baan,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Sonnet-5,584,0.4160958904109589
intake-bedrijf,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Sonnet-5,647,0.42967542503863987
misbruik,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Sonnet-5,534,0.3389513108614232
studie,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Sonnet-5,509,0.40078585461689586
vrijheden,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Sonnet-5,585,0.3435897435897436
abdomen,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,423,0.46808510638297873
ademhaling,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,231,0.31601731601731603
auto-immuunziekten,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,421,0.3752969121140142
bewegingsapparaat,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,400,0.4025
diabetes,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,405,0.345679012345679
hartziekten,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,401,0.32418952618453867
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,528,0.36742424242424243
oncologie,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,554,0.3862815884476534
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_Sonnet-5,615,0.5804878048780487
hulpverleners,interviews,Whisper-large-v3-fast,transcript_Sonnet-5,544,0.7886029411764706
interview-113,interviews,Whisper-large-v3-fast,transcript_Sonnet-5,370,0.6702702702702703
ouder-worden-2040,interviews,Whisper-large-v3-fast,transcript_Sonnet-5,358,0.6703910614525139
ouderen-zorg,interviews,Whisper-large-v3-fast,transcript_Sonnet-5,403,0.6104218362282878
seksuele-voorlichting,interviews,Whisper-large-v3-fast,transcript_Sonnet-5,384,0.6640625
verzorgings-staat,interviews,Whisper-large-v3-fast,transcript_Sonnet-5,466,0.6437768240343348
angststoornis,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Sonnet-5,434,0.3271889400921659
antidepressiva,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Sonnet-5,593,0.3912310286677909
baan,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Sonnet-5,694,0.3919308357348703
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Sonnet-5,588,0.46598639455782315
misbruik,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Sonnet-5,539,0.3654916512059369
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Sonnet-5,556,0.4370503597122302
vrijheden,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Sonnet-5,637,0.30612244897959184
