name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,270,"[0.504, 0.51615, 0.51]",0.10277777777777777,0.15495207667731628,0.6333333333333333,0.0,0.2388323654110233
GGZ-exposure-therapie,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,261,"[0.80615, 0.82536, 0.81565]",0.4423076923076923,0.07585044986916156,0.9846743295019157,0.0,0.6115465619062123
vrijheden,Psychologische gespreksvoering,gt,transcript_Haiku_4.5,357,"[1.0, 1.0, 1.0]",1.0,0.30233876683203403,1.0980392156862746,0.0,0.18355975563035293
hulpverleners,interviews,NVIDIA Canary 1B v2,transcript_Haiku_4.5,343,"[0.691, 0.67637, 0.68361]",0.18095238095238095,0.19267414778742326,1.6093294460641399,0.0,0.4928603218868375
ademhaling,Dokter Patient,NVIDIA Canary 1B v2,transcript_Haiku_4.5,144,"[0.65693, 0.70482, 0.68003]",0.15966386554621848,0.9474708171206225,0.5416666666666666,0.0,0.2701949854023181
ouder-worden-2040,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,400,"[0.5429, 0.55883, 0.55075]",0.21245421245421245,0.2559497864179235,1.395,0.0,0.561216794527494
misbruik,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,272,"[0.45499, 0.50349, 0.47801]",0.17613636363636365,0.20230547550432276,0.75,0.0,0.2734955742078669
auto-immuunziekten,Dokter Patient,gt,transcript_Haiku_4.5,181,"[1.0, 1.0, 1.0]",1.0,0.3071079761258817,1.0994475138121547,0.0,0.3119303550571203
GGZ-exposure-therapie,interviews,gt,transcript_Haiku_4.5,313,"[1.0, 1.0, 1.0]",1.0,0.07936337240563501,1.354632587859425,0.0,0.5414386275741789
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Haiku_4.5,217,"[0.47862, 0.50042, 0.48928]",0.028089887640449437,0.21374911410347272,0.4838709677419355,0.0,0.35934138648650227
oncologie,Dokter Patient,gt,transcript_Haiku_4.5,241,"[1.0, 1.0, 1.0]",1.0,0.4791666666666667,1.3775933609958506,0.0,0.29970441417147714
oncologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,241,"[0.46935, 0.43885, 0.45359]",0.09583333333333334,0.55078125,0.3651452282157676,0.0,0.37992175047596294
misbruik,Psychologische gespreksvoering,gt,transcript_Haiku_4.5,353,"[1.0, 1.0, 1.0]",1.0,0.23216138328530259,1.206798866855524,0.0,0.271359208971262
