name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,747,"[0.67152, 0.65725, 0.66431]",0.3863049095607235,0.3842651757188498,1.5301204819277108,0.0,0.35525640845298767
GGZ-exposure-therapie,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,555,"[0.71743, 0.77185, 0.74365]",0.40342679127725856,0.14904828476180235,1.4234234234234233,0.0,0.5107286634544531
vrijheden,Psychologische gespreksvoering,gt,transcript_Opus-4.8,744,"[1.0, 1.0, 1.0]",1.0,0.6714386959603118,0.9233870967741935,0.0,0.3687268396521487
hulpverleners,interviews,NVIDIA Canary 1B v2,transcript_Opus-4.8,703,"[0.77487, 0.7753, 0.77508]",0.591743119266055,0.33340390994424446,2.930298719772404,0.0,0.5470947271043604
ademhaling,Dokter Patient,NVIDIA Canary 1B v2,transcript_Opus-4.8,237,"[0.77592, 0.81642, 0.79566]",0.4541832669322709,1.4717898832684826,0.7257383966244726,0.0,0.17220748903659674
ouder-worden-2040,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,569,"[0.74729, 0.78006, 0.76332]",0.45868465430016864,0.3533257780489931,1.687170474516696,0.0,0.6000313780137471
misbruik,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,648,"[0.64456, 0.66414, 0.6542]",0.3967168262653899,0.4386167146974063,0.9104938271604939,0.0,0.39667178427471833
auto-immuunziekten,Dokter Patient,gt,transcript_Opus-4.8,464,"[1.0, 1.0, 1.0]",1.0,0.8638090070537168,1.1120689655172413,0.0,0.38977736464756374
GGZ-exposure-therapie,interviews,gt,transcript_Opus-4.8,643,"[1.0, 1.0, 1.0]",1.0,0.17550274223034734,1.412130637636081,0.0,0.5058554793397586
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Opus-4.8,709,"[0.80155, 0.80977, 0.80564]",0.5087483176312247,0.630049610205528,0.9083215796897038,0.0,0.32989343703799956
oncologie,Dokter Patient,gt,transcript_Opus-4.8,577,"[1.0, 1.0, 1.0]",1.0,1.1510416666666667,1.4939341421143848,0.0,0.3850026954783172
oncologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,506,"[0.77643, 0.78622, 0.78129]",0.4670138888888889,0.9899088541666666,1.0276679841897234,0.0,0.4393427592303072
misbruik,Psychologische gespreksvoering,gt,transcript_Opus-4.8,732,"[1.0, 1.0, 1.0]",1.0,0.5205763688760807,0.7609289617486339,0.0,0.43537550792098045
diabetes,Dokter Patient,NVIDIA Canary 1B v2,transcript_Opus-4.8,425,"[0.7353, 0.70957, 0.72221]",0.3890160183066362,0.9544988026000685,1.091764705882353,0.0,0.2978094254548733
oncologie,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,472,"[0.7253, 0.74995, 0.73742]",0.4392361111111111,0.9072265625,1.5614406779661016,0.0,0.41776429465971887
baan,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,692,"[0.76331, 0.75355, 0.7584]",0.37073707370737075,0.27417080497823554,1.0028901734104045,0.0,0.48577296101685724
intake-bedrijf,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Opus-4.8,726,"[0.69873, 0.69679, 0.69776]",0.4780361757105943,0.3583067092651757,1.4683195592286502,0.0,0.3220379576086998
antidepressiva,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Opus-4.8,608,"[0.77065, 0.79326, 0.78179]",0.39212827988338195,0.4846045739108215,1.0674342105263157,0.0,0.44661375433206557
GGZ-exposure-therapie,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,472,"[0.72401, 0.75345, 0.73843]",0.30218068535825543,0.13779259418575474,1.4830508474576272,0.0,0.5610205582701243
hartziekten,Dokter Patient,Whisper-large-v3-fast,transcript_Opus-4.8,444,"[0.77704, 0.76117, 0.76902]",0.4236559139784946,0.7928321678321678,0.9009009009009009,0.0,0.28473617664227885
ouder-worden-2040,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,555,"[0.75693, 0.7462, 0.75153]",0.43676222596964587,0.36352541190829046,1.6846846846846846,0.0,0.5068086928129196
abdomen,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,507,"[0.75953, 0.73352, 0.7463]",0.5275938189845475,1.0045717768972875,1.4792899408284024,0.0,0.4801795796344155
